azonositó	márka	tipus	motor_térfogat	szállítható_személyek	évjárat	ár	kilométer	üzemanyag
RFP87132-2004	opel	astra H	1600	5	2004	1350000	127000	benzin
FAW12372-2003	opel	astra H	1600	5	2003	1500000	108000	benzin
FDA13821-2004	opel	vectra	2200	5	2004	1600000	95000	benzin
FGW35812-2005	opel	vectra	1900	5	2005	1450000	110000	dízel
FZH35582-2001	opel	corsa c	1200	5	2001	850000	130000	benzin
FPO32712-2003	opel	corsa c	1200	5	2002	1100000	160000	benzin
DFO11225-2002	opel	corsa c	1000	5	2002	810000	150000	benzin
DFW11771-2017	honda	CRZ	1400	2	2017	5800000	60500	hibrid
FAQ32821-1996	ford	mondeo	1600	5	1996	400000	250000	benzin
FOP32227-2012	ford	mondeo	2000	5	2012	3000000	150000	benzin
FAP71511-2013	ford	mondeo	1600	5	2013	3400000	80000	benzin
FAM77154-2011	honda	accord	2200	5	2011	3290000	180000	benzin
FEW13228-2001	honda	accord	2000	5	2011	3100000	150000	benzin
FAW12571-2004	honda	accord	2000	5	2004	1650000	240000	dízel
